sensor_id,latitude,longitude,outage
B1:FF:04:10:6A:80,33.037,-96.669,no
FF:2E:06:10:6A:80,32.84,-96.674,no
65:49:75:40:EE:C0,32.775,-97.125,no
0D:21:0C:10:6A:80,32.613,-97.148,no
8F:7C:75:40:EE:C0,32.992,-96.865,no
3F:08:05:10:6A:80,33.658,-95.517,no
43:F4:04:10:6A:80,32.879,-96.859,no
2D:7C:03:10:6A:80,33.053,-96.711,no
19:53:75:40:EE:C0,33.02,-96.657,no
57:99:0A:10:6A:80,33.078,-96.783,no
CB:D6:04:10:6A:80,33.062,-96.721,no
59:E1:06:10:6A:80,32.716,-97.431,no
85:51:05:10:6A:80,32.849,-97.156,no
E5:98:0A:10:6A:80,33.028,-96.68,no
3B:9E:75:40:EE:C0,32.909,-96.509,no
ED:E8:74:40:EE:C0,33.021,-96.721,no
F9:62:0B:10:6A:80,32.964,-96.997,no
AF:16:06:10:6A:80,33.057,-96.094,no
8B:FA:74:40:EE:C0,33.043,-96.758,no
99:40:0C:10:6A:80,33.077,-96.74,no
2D:E8:0C:10:6A:80,32.644,-97.082,no
57:7A:0A:10:6A:80,32.629,-96.897,no
4B:C2:09:10:6A:80,33.019,-96.515,no
01:52:0B:10:6A:80,32.897,-97.272,no
85:82:75:40:EE:C0,32.589,-96.934,no
F1:60:09:10:6A:80,33.248,-97.1,no
D3:2B:05:10:6A:80,32.805,-96.954,no
17:C7:0B:10:6A:80,33.03,-97.089,no
07:55:0A:10:6A:80,32.706,-97.812,no
F1:A6:0B:10:6A:80,32.989,-96.9,no
7F:C1:09:10:6A:80,32.918,-96.588,no
67:85:0A:10:6A:80,32.333,-95.372,yes
49:9E:75:40:EE:C0,33.086,-96.919,no
F5:0D:09:10:6A:80,32.308,-96.143,no
B7:DE:04:10:6A:80,33.053,-96.752,no
59:B2:0C:10:6A:80,32.807,-97.443,no
35:62:75:40:EE:C0,33.073,-97.047,no
25:FF:74:40:EE:C0,32.669,-97.172,no
93:D7:09:10:6A:80,32.351,-97.671,no
BB:46:75:40:EE:C0,32.86,-97.166,no
57:D6:03:10:6A:80,33.01,-97.103,no
41:46:75:40:EE:C0,33.188,-96.722,no
45:93:73:40:EE:C0,32.976,-96.688,no
2B:17:0C:10:6A:80,32.816,-96.731,no
4F:49:75:40:EE:C0,33.122,-96.612,no
ED:50:05:10:6A:80,32.965,-96.797,no
4B:0D:09:10:6A:80,33.408,-96.197,no
AD:99:09:10:6A:80,32.773,-97.13,no
8B:B4:03:10:6A:80,33.055,-97.064,no
77:88:0A:10:6A:80,32.878,-96.607,no
43:D8:03:10:6A:80,32.87,-97.274,no
4D:4E:75:40:EE:C0,33.035,-96.766,no
1F:8E:74:40:EE:C0,32.811,-96.605,no
93:42:75:40:EE:C0,33.084,-96.739,no
ED:0D:05:10:6A:80,32.688,-96.837,no
4D:26:06:10:6A:80,33.014,-96.866,no
AF:CE:04:10:6A:80,32.684,-97.167,no
85:0A:0C:10:6A:80,33.05,-97.096,no
81:51:05:10:6A:80,33.173,-96.574,no
27:6A:75:40:EE:C0,32.995,-96.806,no
A7:3A:05:10:6A:80,32.841,-97.184,no
31:FF:74:40:EE:C0,32.825,-97.14,no
B9:13:06:10:6A:80,33.092,-96.601,no
07:87:75:40:EE:C0,32.896,-96.744,no
2B:F4:04:10:6A:80,32.751,-97.225,no
03:C1:09:10:6A:80,33.077,-96.738,no
B9:47:02:10:6A:80,32.89,-96.879,no
BB:94:09:10:6A:80,33.073,-96.773,no
17:94:09:10:6A:80,32.876,-96.836,no
A1:88:09:10:6A:80,33.021,-96.655,no
81:8E:0A:10:6A:80,32.594,-96.884,no
CD:FD:0B:10:6A:80,32.948,-96.855,no
EF:5E:03:10:6A:80,32.989,-96.882,no
C7:D2:03:10:6A:80,33.039,-96.768,no
4D:B5:0A:10:6A:80,32.848,-96.7,no
B5:01:0C:10:6A:80,33.043,-96.822,no
A7:7E:05:10:6A:80,32.864,-97.145,no
23:6E:05:10:6A:80,33.083,-96.709,no
8D:15:06:10:6A:80,33.099,-96.65,no
ED:C0:02:10:6A:80,32.896,-96.848,no
27:51:75:40:EE:C0,32.752,-96.552,no
A1:C0:02:10:6A:80,33.098,-96.667,no
9B:9A:0A:10:6A:80,32.884,-97.235,no
E3:25:0C:10:6A:80,32.418,-97.775,no
79:16:09:10:6A:80,33.83,-98.551,no
7F:02:0C:10:6A:80,32.99,-96.836,no
23:B1:04:10:6A:80,32.756,-96.756,no
2D:11:09:10:6A:80,32.842,-97.157,no
5F:73:03:10:6A:80,32.487,-95.459,no
6F:92:0A:10:6A:80,33.176,-96.88,no
F7:90:09:10:6A:80,32.776,-97.109,no
73:76:74:40:EE:C0,32.966,-96.981,no
4D:51:75:40:EE:C0,32.701,-97.184,no
F5:13:05:10:6A:80,32.695,-97.129,no
D7:56:02:10:6A:80,32.666,-97.448,no
17:08:06:10:6A:80,32.966,-97.105,no
4B:6A:75:40:EE:C0,32.679,-97.166,no
27:59:03:10:6A:80,32.797,-96.699,no
F5:68:0A:10:6A:80,32.896,-96.608,no
E1:10:02:10:6A:80,32.844,-96.997,no
EB:B2:09:10:6A:80,32.269,-95.315,no
6F:BD:09:10:6A:80,33.017,-97.212,no
6D:6D:75:40:EE:C0,32.906,-96.719,no
9D:36:75:40:EE:C0,33.014,-97.044,no
E1:D0:03:10:6A:80,32.962,-97.169,no
6B:9B:09:10:6A:80,32.591,-97.125,no
EB:AF:03:10:6A:80,32.717,-97.264,no
